,Hazard,Causes,Mitigation,Impacts,Invalid
2025-05-21,0.0,0.0,0.0,0.0,5.0
2025-05-24,0.0,0.0,0.0,0.0,5.0
2025-05-26,0.0,0.0,0.0,0.0,9.0
2025-05-27,0.0,0.0,0.0,0.0,5.0
2025-05-28,0.0,0.0,0.0,0.0,7.0
2025-05-29,0.0,0.0,0.0,0.0,1.0
2025-05-30,0.0,0.0,0.0,0.0,7.0
2025-06-01,0.0,0.0,0.0,0.0,2.0
2025-06-02,0.0,0.0,0.0,0.0,31.0
2025-06-03,0.0,0.0,0.0,0.0,10.0
2025-06-04,0.0,0.0,0.0,0.0,5.0
2025-06-05,0.0,0.0,0.0,0.0,1.0
2025-06-06,0.0,0.0,0.0,0.0,9.0
2025-06-07,0.0,0.0,0.0,0.0,3.0
2025-06-08,0.0,0.0,0.0,0.0,1.0
2025-06-09,0.0,0.0,0.0,0.0,5.0
2025-06-10,0.0,0.0,0.0,0.0,5.0
2025-06-11,0.0,0.0,0.0,0.0,3.0
2025-06-12,0.0,0.0,0.0,0.0,6.0
2025-06-13,0.0,0.0,0.0,0.0,1.0
2025-06-14,0.0,0.0,0.0,0.0,2.0
2025-06-15,0.0,0.0,0.0,0.0,3.0
2025-06-16,0.0,0.0,0.0,0.0,5.0
2025-06-17,0.0,0.0,0.0,0.0,18.0
2025-06-18,0.0,0.0,0.0,0.0,19.0
2025-06-19,0.0,0.0,0.0,0.0,6.0
2025-06-20,0.0,0.0,0.0,0.0,8.0
2025-06-21,0.0,0.0,0.0,0.0,3.0
2025-06-22,0.0,0.0,0.0,0.0,3.0
2025-06-23,0.0,0.0,0.0,0.0,14.0
2025-06-24,0.0,0.0,0.0,0.0,17.0
2025-06-25,0.0,0.0,0.0,0.0,11.0
2025-06-26,0.0,0.0,0.0,0.0,6.0
2025-06-27,0.0,0.0,0.0,0.0,3.0
2025-06-30,0.0,0.0,0.0,0.0,2.0
2025-07-01,0.0,0.0,0.8,0.0,0.7
2025-07-02,0.0,0.0,0.0,0.0,1.4
2025-07-03,2.5,0.0,0.0,0.0,1.0
2025-07-04,0.0,0.0,0.0,0.0,2.8999999999999995
2025-07-05,2.1,0.0,0.0,0.0,0.0
2025-07-06,0.8,0.0,0.0,0.0,1.8
2025-07-07,12.200000000000001,0.0,1.8,0.0,1.0
2025-07-08,8.1,0.0,0.6,0.0,2.2
2025-07-09,3.8000000000000003,0.0,0.6,0.0,2.7
2025-07-10,0.8,0.0,0.0,0.0,2.6
2025-07-11,2.2,0.0,0.0,0.0,1.2
2025-07-12,1.2999999999999998,0.0,0.0,0.0,1.0
2025-07-13,0.8,0.0,0.0,0.0,0.0
2025-07-14,0.0,0.0,0.0,0.0,0.6
2025-07-15,1.8,0.0,0.0,0.0,1.6
2025-07-16,17.9,0.0,0.9,0.0,3.0
2025-07-17,1.5,0.0,0.0,0.0,2.9
2025-07-18,2.2,0.0,0.0,0.0,0.8
2025-07-19,1.5,0.0,0.0,0.0,0.7
2025-07-20,0.7,0.0,0.0,0.0,0.0
2025-07-21,0.0,0.0,0.7,0.0,1.0
2025-07-22,1.8,0.0,0.0,0.0,0.0
2025-07-23,0.8,0.0,0.0,0.0,1.0
2025-07-25,0.0,0.0,0.0,0.0,1.0
2025-07-26,0.0,0.0,0.0,0.0,1.0
2025-07-27,3.2,0.0,0.0,0.0,1.0
2025-07-28,0.0,0.0,0.0,0.0,2.4000000000000004
2025-07-29,0.0,0.0,0.0,0.0,2.8
2025-07-30,9.700000000000001,0.0,2.2,0.7,0.0
2025-07-31,0.6,0.0,0.0,0.0,0.6
2025-08-01,2.7,0.0,0.0,0.0,0.0
2025-08-02,7.500000000000001,0.0,0.0,0.0,1.0
2025-08-03,13.400000000000002,0.0,0.0,0.0,26.0
2025-08-04,3.5999999999999996,0.0,0.0,0.0,12.0
2025-08-05,1.5,0.0,0.0,0.0,2.0
2025-08-06,2.4,0.0,0.0,0.0,1.8
2025-08-07,0.0,0.0,0.0,0.0,2.0
2025-08-08,0.0,0.0,0.0,0.0,5.0
2025-08-09,0.0,0.0,0.0,0.0,1.0
2025-08-10,0.0,0.0,0.0,0.0,4.0
2025-08-12,0.0,0.0,0.0,0.0,1.0
2025-08-13,0.8,0.0,0.0,0.0,0.0
2025-08-14,0.0,0.0,0.0,0.0,1.0
2025-08-15,0.0,0.0,0.0,0.0,1.0
2025-08-16,0.0,0.0,0.0,0.0,1.0
2025-08-17,1.2999999999999998,0.0,0.0,0.0,2.0
2025-08-18,1.5,0.0,0.0,0.0,4.9
2025-08-19,2.3,0.0,0.7,0.0,5.0
2025-08-20,0.0,0.0,0.0,0.0,9.0
2025-08-21,0.7,0.0,0.0,0.0,4.0
2025-08-22,0.0,0.0,0.0,0.0,1.0
2025-08-23,4.6,0.0,0.0,0.0,2.0
2025-08-24,0.6,0.0,0.0,0.0,0.0
2025-08-27,0.8,0.0,0.0,0.0,1.0
2025-08-28,0.7,0.0,0.0,0.0,3.0
2025-08-29,1.2999999999999998,0.0,0.0,0.0,2.0
2025-08-30,0.0,0.0,0.0,0.0,2.0
2025-08-31,0.0,0.0,0.0,0.0,1.0
2025-09-01,0.0,0.0,0.0,0.0,1.0
2025-09-02,3.0,0.0,0.0,0.0,1.0
2025-09-03,9.0,0.0,0.0,0.0,4.0
2025-09-04,2.0,0.0,0.0,0.0,1.0
2025-09-05,0.0,0.0,0.0,0.0,1.0
2025-09-06,2.0,0.0,0.0,0.0,6.0
2025-09-07,0.0,0.0,0.0,0.0,1.0
2025-09-08,2.0,0.0,0.0,0.0,0.0
2025-09-09,0.0,0.0,0.0,0.0,3.0
2025-09-11,0.0,0.0,0.0,0.0,2.0
2025-09-12,0.0,0.0,0.0,0.0,1.0
2025-09-13,0.0,0.0,0.0,0.0,1.0
2025-09-14,0.0,0.0,0.0,0.0,3.0
2025-09-15,0.0,0.0,0.0,0.0,2.0
2025-09-16,1.0,0.0,0.0,0.0,2.0
2025-09-17,4.0,1.0,0.0,0.0,1.0
2025-09-18,0.0,0.0,0.0,0.0,1.0
2025-09-19,0.0,0.0,0.0,0.0,6.0
2025-09-20,1.0,0.0,0.0,0.0,0.0
2025-09-21,1.0,0.0,0.0,0.0,0.0
2025-09-22,2.0,0.0,0.0,0.0,0.0
2025-09-23,0.0,0.0,0.0,0.0,1.0
2025-09-24,3.0,1.0,0.0,0.0,1.0
2025-09-27,1.0,0.0,0.0,0.0,1.0
2025-09-28,0.0,0.0,0.0,0.0,2.0
2025-09-30,0.0,0.0,0.0,0.0,1.0
2025-10-01,1.0,0.0,0.0,0.0,2.0
2025-10-02,1.0,0.0,0.0,0.0,1.0
2025-10-03,2.0,0.0,0.0,0.0,1.0
2025-10-04,0.0,0.0,0.0,0.0,1.0
2025-10-05,0.0,0.0,0.0,0.0,2.0
2025-10-06,0.0,0.0,0.0,0.0,2.0
2025-10-08,1.0,0.0,0.0,0.0,0.0
2025-10-09,0.0,0.0,0.0,0.0,1.0
2025-10-10,1.0,0.0,0.0,0.0,2.0
2025-10-11,0.0,0.0,0.0,0.0,2.0
2025-10-12,0.0,0.0,0.0,0.0,1.8
2025-10-13,2.0,0.0,0.0,0.0,0.9
2025-10-14,0.0,0.0,0.0,0.0,2.7
2025-10-15,8.6,0.0,0.0,0.0,3.6999999999999997
2025-10-16,1.0,0.0,0.0,0.0,3.6
2025-10-17,2.0,0.0,0.0,0.0,4.8
2025-10-18,0.0,0.0,1.0,0.0,2.7
2025-10-19,3.0,0.0,0.0,0.0,2.9
2025-10-20,2.0,1.0,1.0,0.0,7.6000000000000005
2025-10-21,2.0,0.0,0.0,0.0,3.8
2025-10-22,3.0,0.0,0.0,0.0,11.100000000000001
2025-10-23,3.0,0.0,0.0,0.0,3.6999999999999997
2025-10-24,1.0,0.0,0.0,0.0,0.0
2025-10-25,0.0,0.0,0.0,0.0,1.9
2025-10-26,0.0,0.0,0.0,0.0,0.9
2025-10-27,2.0,0.0,0.0,0.0,1.0
2025-10-28,1.0,0.0,0.0,0.0,0.0
2025-10-29,1.0,0.0,0.0,0.0,2.7
2025-10-30,1.0,0.0,0.0,0.0,1.8
2025-10-31,0.0,0.0,0.0,0.0,3.6
2025-11-01,0.0,0.0,0.0,0.0,0.9
2025-11-03,1.0,0.0,0.0,0.0,1.8
2025-11-04,0.0,0.0,0.0,0.0,5.4
2025-11-05,1.0,0.0,0.0,0.0,1.8
2025-11-06,1.9,0.0,0.0,0.0,1.9
2025-11-07,1.8,0.0,0.0,0.0,1.8
2025-11-08,0.0,0.0,0.0,0.0,3.6
2025-11-09,0.0,0.0,0.0,0.0,0.9
2025-11-10,0.9,0.0,1.0,0.0,7.200000000000001
2025-11-11,2.7,0.0,0.0,0.0,3.6
2025-11-12,1.8,0.9,0.0,0.0,0.0
2025-11-13,5.4,0.0,0.0,0.0,0.0
2025-11-14,1.8,0.0,0.0,0.0,0.0
2025-11-15,0.9,0.0,0.0,0.0,0.0
2025-11-16,2.7,0.0,0.0,0.9,0.0
2025-11-18,0.9,0.0,0.0,0.0,0.0
2025-11-19,8.100000000000001,0.0,1.8,0.0,0.0
2025-11-20,8.100000000000001,0.0,0.0,0.0,0.0
2025-11-21,2.7,0.0,0.0,0.0,0.0
2025-11-22,1.8,0.0,0.0,0.0,0.0
2025-11-23,2.7,0.0,0.0,0.0,0.0
2025-11-24,19.799999999999997,0.9,0.9,0.9,0.0
2025-11-25,15.300000000000004,0.0,0.0,1.8,0.0
2025-11-26,5.4,0.0,0.0,0.0,0.0
2025-11-27,1.8,0.0,0.0,0.0,0.0
2025-11-28,2.7,0.0,0.0,0.0,0.0
